"_id:id","_labels:label","coefficient:double","group:int","partition:int","label:int","triangles:int","name","url","rank:double","_start:id","_end:id","_type:label"
"12480",":Page","0.7575757575757576","[0,0,0]","0","1506","50","The Anatomy of a Decision: An Introduction to Decision Making","https://fs.blog/2009/07/an-introduction-to-decision-making/","3.145842",,,
"12481",":Page","0.8","[1,1,1]","0","1506","36","Mental Model: Supply and Demand","https://fs.blog/2009/07/mental-model-supply-and-demand/","0.3711275",,,
"12482",":Page","0.8","[2,2,2]","0","1506","44","The Psychology of Pirates: How to Choose a Ransom","https://fs.blog/2009/07/pirates/","0.38642750000000003",,,
"12483",":Page","0.8214285714285714","[3,1,1]","0","1506","23","The Crow and the Pitcher","https://fs.blog/2009/08/aesop-the-crow-and-the-pitcher/","0.18422100000000005",,,
"12484",":Page","0.7636363636363637","[4,1,1]","0","1506","42","Charlie Munger Explains Why Bureaucracy is not Shareholder Friendly","https://fs.blog/2009/08/bureaucracy-is-not-shareholder-friendly/","0.1773615",,,
"12485",":Page","0.7636363636363637","[5,1,1]","0","1506","42","Making A Mistake: Fienberg and Buffett","https://fs.blog/2009/08/making-a-mistake-fienberg-and-buffett/","0.17770999999999998",,,
"12486",":Page","0.7818181818181819","[6,3,3]","0","1506","43","Mental Model: Anchoring","https://fs.blog/2009/08/mental-model-anchoring/","0.17741249999999997",,,
"12487",":Page","0.7818181818181819","[1,1,1]","0","1506","43","The Principles of Comparative Advantage: Why Tiger Woods Shouldn’t Mow Your Lawn","https://fs.blog/2009/08/should-tiger-woods-mow-his-own-lawn-the-principles-of-comparative-advantage/","0.18260600000000002",,,
"12488",":Page","0.7818181818181819","[3,1,1]","0","1506","43","The Mis-Match Problem","https://fs.blog/2009/08/the-mis-match-problem/","0.19910450000000002",,,
"12489",":Page","0.7424242424242424","[3,1,1]","0","1506","49","Hindsight Bias","https://fs.blog/2009/08/what-is-hindsight-bias/","0.2464155",,,
"12490",":Page","0.7454545454545455","[7,4,4]","0","1506","41","Yes! 50 Scientifically Proven Ways to Be Persuasive","https://fs.blog/2009/08/yes-50-scientifically-proven-ways-to-be-persuasive/","0.17874700000000002",,,
"12491",":Page","0.7454545454545455","[4,1,1]","0","1506","41","Dan Ariely on 10 Irrational Human Behaviors","https://fs.blog/2009/09/10-irrational-human-behaviors/","0.19638450000000002",,,
"12492",":Page","0.8363636363636363","[0,0,0]","0","1506","46","Bertrand Russell: On Avoiding Foolish Opinions","https://fs.blog/2009/09/bertrand-russell-on-avoiding-foolish-opinions/","0.1773615",,,
"12493",":Page","0.7636363636363637","[8,5,5]","0","1506","42","Bruce Pandolfini Teaches Thinking, Not Chess","https://fs.blog/2009/09/bruce-pandolfini-teaches-thinking-not-chess/","0.19638450000000002",,,
"12494",":Page","0.6794871794871795","[4,1,1]","0","1506","53","Social Proof: Why We Look to Others For What We Should Think and Do","https://fs.blog/2009/09/mental-model-social-proof/","0.42573150000000015",,,
"12495",":Page","0.8","[0,0,0]","0","1506","44","Social Dilemmas: When to Defect and When to Cooperate","https://fs.blog/2009/09/social-dilemmas-dawes/","0.17874700000000002",,,
"12496",":Page","0.7636363636363637","[0,0,0]","0","1506","42","Unskilled and Unaware of It: How Difficulties in Recognizing One’s  Own Incompetence Lead to Inflated Self-Assessments","https://fs.blog/2009/09/unskilled-and-unaware-of-it-how-difficulties-in-recognizing-ones-own-incompetence-lead-to-inflated-self-assessments/","0.17741249999999997",,,
