"label","description"
"https://fs.blog/the-knowledge-project/","The Knowledge Project Podcast with Shane Parrish"
"https://fs.blog/reading/","A Helpful Guide to Reading Better"
"https://fs.blog/2018/10/shape-our-reality/","How the Many Sides to Every Story Shape our Reality"
"https://fs.blog/speaking/","Shane Parrish Speaking Opportunities"
"https://fs.blog/mental-models/","Mental Models: The Best Way to Make Intelligent Decisions (109 Models Explained)"
"https://fs.blog/smart-decisions/","The Ultimate Guide to Making Smart Decisions"
"https://fs.blog/privacy-policy/","Privacy Policy"
"https://fs.blog/marcus-aurelius/","Who was Marcus Aurelius? An introduction to the last great emperor, leader and stoic of Rome"
"https://fs.blog/2018/10/hemingway-suitcase/","Hemingway, a Lost Suitcase, and the Recipe for Stupidity"
"https://fs.blog/sanjay-bakshi/","Why Mental Models? My Interview With Professor and Value Investor Sanjay Bakshi [The Knowledge Project, Ep. #3]"
"https://fs.blog/chris-dixon/","Chris Dixon on The State of Venture Capital, Why Companies Fail and Artificial Intelligence [The Knowledge Project Ep. #5]"
"https://fs.blog/cdn-cgi/l/email-protection","Email Protection"
"https://fs.blog/sponsorship/","Farnam Street Sponsorship"
"https://fs.blog/random-articles/","Random Posts"
"https://fs.blog/michael-mauboussin/","When To Trust Your Gut: Michael Mauboussin on Intuition, Technology, and Making Better Decisions [The Knowledge Project Ep. #1]"
"https://fs.blog/jason-zweig/","Elevate Your Financial IQ: A Value Packed Discussion With Jason Zweig [The Knowledge Project Ep. #4]"
"https://fs.blog/2015/06/books-on-decision-making/","39 Books to Improve your Decision Making Skills"
"https://fs.blog/michael-lombardi/","Leadership on the Field, in the Office and at Home: My Conversation With NFL Coach Michael Lombardi [The Knowledge Project Ep. #2]"
"https://fs.blog/2012/10/what-happens-when-decisions-go-wrong/","Why Bad Things Happen to Good Decisions"
"https://fs.blog/2013/03/what-matters-more-in-decisions-analysis-or-process/","What Matters More in Decisions: Analysis or Process?"
"https://fs.blog/2013/12/your-environment-matters/","How Your Work Environment is Sapping You Dry (and How to Fix It)"
"https://fs.blog/2014/04/ernest-hemingway-on-writing/","Ernest Hemingway on Writing"
"https://fs.blog/2015/02/ben-horowitz-the-struggle/","Ben Horowitz: The Struggle"
"https://fs.blog/2013/02/the-psychology-of-human-misjudgement/","Charlie Munger: The Psychology of Human Misjudgment (Transcript and Audio)"
"https://fs.blog/2014/04/the-hard-thing-about-hard-things/","The Hard Thing About Hard Things"
"https://fs.blog/2014/11/charlie-munger-mental-models/","Charlie Munger: Adding Mental Models to Your Mind’s Toolbox"
"https://fs.blog/2014/08/steve-jobs-on-creativity/","Steve Jobs on Creativity"
"https://fs.blog/2011/09/is-reading-fiction-good-for-you/","Is reading fiction good for you?"
"https://fs.blog/2016/01/charles-darwin-thinker/","How Darwin Thought: Follow the Golden Rule of Thinking"
"https://fs.blog/2014/09/the-power-of-noticing-max-bazerman/","The Power of Noticing: What the Best Leaders See"
"https://fs.blog/2011/06/why-government-suppress-volatility-and-why-it-backfires/","Suppressing Volatility Makes the World Less Predictable and More Dangerous"
"https://fs.blog/2013/12/margin-of-safety/","Margin of Safety: An Introduction to the Mental Model"
"https://fs.blog/2015/06/the-power-of-full-engagement/","The Power of Full Engagement: The Four Energy Management Principles That Drive Performance"
"https://fs.blog/2017/12/maker-vs-manager/","Maker vs. Manager: How Your Schedule Can Make or Break You"
"https://fs.blog/2013/12/scott-adams-fail-at-everything/","How to Fail at Almost Everything and Still Win Big"
"https://fs.blog/2018/05/pygmalion-effect/","The Pygmalion Effect: Proving Them Right"
"https://fs.blog/2018/01/intuition-rationality/","Intuition vs. Rationality: Where One Stops the Other Starts"
"https://fs.blog/2014/08/what-makes-warren-buffett-a-great-investor/","What makes Warren Buffett a great investor? Intelligence or Discipline?"
"https://fs.blog/2016/12/tim-harford-messy/","Embrace the Mess: The Upside of Disorder"
"https://fs.blog/2014/08/book-recommendations-from-billionaire-charlie-munger/","19 More Book Recommendations from Billionaire Charlie Munger"
"https://fs.blog/2017/01/principles-age-acceleration/","Principles for an Age of Acceleration"
"https://fs.blog/2018/09/mental-model-winner-take-all/","Winner Takes it All: How Markets Favor the Few at the Expense of the Many"
"https://fs.blog/2011/06/the-humpty-dumpty-problem/","Reductionism: Understanding the Parts, Misunderstanding the Whole"
"https://fs.blog/2014/09/brene-brown-vulnerability/","Brené Brown: The Power of Vulnerability"
"https://fs.blog/2011/06/does-anything-matter/","Derek Parfit: Does Anything Matter?"
"https://fs.blog/2013/12/choose-yourself/","Choose Yourself"
"https://fs.blog/2012/10/trust-me-im-lying-why-sites-like-gawker-manipulate-you/","Trust Me, I’m Lying: Why Sites Like Gawker Manipulate You"
"https://fs.blog/2013/10/the-everything-store/","10 Things I Learned Reading Brad Stone’s The Everything Store: Jeff Bezos and the Age of Amazon"
"https://fs.blog/2018/05/deductive-inductive-reasoning/","Deductive vs Inductive Reasoning: Make Smarter Arguments, Better Decisions, and Stronger Conclusions"
"https://fs.blog/2017/12/against-empathy/","Making Compassionate Decisions: The Role of Empathy in Decision Making"
"https://fs.blog/2017/10/bias-incentives-reinforcement/","The Power of Incentives: Inside the Hidden Forces That Shape Behavior"
"https://fs.blog/2017/02/survival-of-the-fittest/","Survival of the Fittest: Groups versus Individuals"
"https://fs.blog/2016/11/green-lumber-fallacy/","The Green Lumber Fallacy: The Difference between Talking and Doing"
"https://fs.blog/2016/11/future-probability-distribution/","The Probability Distribution of the Future"
"https://fs.blog/2018/03/seneca-epictetus-relationships/","So Two Stoics Walk Into a Bar…"
"https://fs.blog/2011/06/why-we-get-fat/","The Science of Obesity"
"https://fs.blog/2018/04/reversible-irreversible-decisions/","Go Fast and Break Things: The Difference Between Reversible and Irreversible Decisions"
"https://fs.blog/2017/10/loops-progress-modern/","Loops of Progress, or How Modern Are You?"
"https://fs.blog/2017/09/maya-angelou-living/","Maya Angelou on Living"
"https://fs.blog/2017/10/veil-ignorance/","The Fairness Principle: How the Veil of Ignorance Helps Test Fairness"
"https://fs.blog/2017/05/arnold-bennett-living-meaningful-life/","How to Live on 24 Hours a Day: Arnold Bennett on Living a Meaningful Life Within the Constraints of Time"
"https://fs.blog/2017/01/under-one-roof-what-can-we-learn-from-the-mayo-clinic/","Under One Roof: What Can we Learn from the Mayo Clinic?"
"https://fs.blog/2016/11/ethos-logos-pathos/","Ethos, Logos and Pathos: The Structure of a Great Speech"
"https://fs.blog/2017/11/hammurabis-code/","The Code of Hammurabi: The Best Rule To Manage Risk"
"https://fs.blog/seneca/","Who Is Seneca? Timeless Wisdom from the World’s Most Controversial Stoic"
"https://fs.blog/2018/04/break-the-chain/","Break the Chain: Stop Being a Slave"
"https://fs.blog/2011/06/9-harvard-profs-share-their-summer-reading-list/","9 Harvard Profs share their summer reading list"
"https://fs.blog/2018/03/hannah-arendt-totalitarianism/","The Terror of Totalitarianism Explained"
"https://fs.blog/2016/12/batesian-mimicry/","Batesian Mimicry: Why Copycats Are Successful"
"https://fs.blog/garrett-hardin/","Who Is Garrett Hardin? The Master Ecologist Who Warned Us About Population Growth"
"https://fs.blog/2017/04/learning-baggage/","Let Go of the Learning Baggage"
"https://fs.blog/2017/08/wrong-side-right/","The Wrong Side of Right"
"https://fs.blog/2017/05/cleopatra-self-preservation/","Cleopatra and Self-Preservation"
"https://fs.blog/2017/11/most-gifted-book/","29 of the Most Gifted and Highly Recommended Books"
"https://fs.blog/2017/08/value-play-driver-innovation/","The Value of Play As a Driver of Innovation"
"https://fs.blog/2015/06/the-double-edge-of-expertise/","Garrett Hardin: The Other Side of Expertise"
"https://fs.blog/2017/05/simone-de-beauvoir-ethics-freedom/","Simone de Beauvoir on The Ethics of Freedom"
"https://fs.blog/2011/05/how-to-make-bad-decisions/","Albert Bernstein on the Dinosaur Brain and How To Make Bad Decisions"
"https://fs.blog/2017/01/edward-deci-self-determination/","Edward Deci: On the Relationship Between Need Fulfillment and Motivation"
"https://fs.blog/2017/02/aristotles-politics/","Tyranny, Democracy, and the Polity: Aristotle’s Politics"
"https://fs.blog/2017/01/most-respectful-interpretation/","The Most Respectful Interpretation"
"https://fs.blog/2016/04/hans-rosling-population-growth/","Hans Rosling’s Important Truths about Population Growth and the Developing World"
"https://fs.blog/2017/11/generalized-specialist/","The Generalized Specialist: How Shakespeare, Da Vinci, and Kepler Excelled"
"https://fs.blog/2015/12/the-effect-of-scale-on-values/","The Effect of Scale in Social Science, or Why Utopia Doesn’t Work"
"https://fs.blog/2017/05/emergence-power-example/","Emergence and Power — Four 13th-Century Sisters Who Became Queens"
"https://fs.blog/2017/09/open-closed-minded/","The Difference Between Open-Minded and Closed-Minded People"
"https://fs.blog/2016/10/peter-bevelin-seeking-wisdom-mental-models/","Peter Bevelin on Seeking Wisdom, Mental Models, Learning, and a Lot More"
"https://fs.blog/2011/08/the-tragedy-of-the-commons/","The Tragedy Of The Commons"
"https://fs.blog/2014/06/winning-an-argument/","The Art of Winning An Argument"
"https://fs.blog/2015/06/the-third-marriage/","David Whyte on The Three Marriages of Work, Self, and Relationship"
"https://fs.blog/2016/05/joseph-heath-market-prices/","Why Fiddling With Prices Doesn’t Work"
"https://fs.blog/2016/04/rebecca-goldstein-matter/","Rebecca Goldstein and Why We Need to Matter"
"https://fs.blog/2016/04/learning-mistakes-win/","Learning From Your Mistakes … When You Win"
"https://fs.blog/2018/02/unintended-consequences/","The Law of Unintended Consequences: Shakespeare, Cobra Breeding, and a Tower in Pisa"
"https://fs.blog/2011/08/intervention-bias/","Intervention Bias: When to Step in and When To Leave Things Alone"
"https://fs.blog/2015/06/the-expert-squeeze/","The Wisdom of Crowds and The Expert Squeeze"
"https://fs.blog/2016/10/jared-diamond-how-to-get-rich/","Jared Diamond: How to Get Rich"
"https://fs.blog/2016/04/crashing-planes-mungers-system/","Stop Crashing Planes: Charlie Munger’s Six-Element System"
"https://fs.blog/2016/05/civilization-and-its-passions/","Civilization and its Fundamental Passions"
"https://fs.blog/2016/05/gary-taubes-getting-it-right/","Gary Taubes and the Exquisite Balancing Act of Getting it Right"
"https://fs.blog/2014/06/avoiding-stupidity/","Avoiding Stupidity is Easier than Seeking Brilliance"
"https://fs.blog/2016/10/charles-darwins-reflections-mind/","How To Mentally Overachieve — Charles Darwin’s Reflections On His Own Mind"
"https://fs.blog/2015/08/bias-from-association-why-we-shoot-the-messenger/","Bias from Association: Why We Shoot the Messenger"
"https://fs.blog/2014/04/antifragile-a-definition/","Nassim Taleb: A Definition of Antifragile and its Implications"
"https://fs.blog/2016/04/four-laws-of-ecology/","How The Four Laws of Ecology Help You Solve Problems"
"https://fs.blog/2016/10/michael-pollan-simple-rules-eating/","Michael Pollan’s Simple Rules for Eating"
"https://fs.blog/2011/08/being-wrong/","3 Ways You’re Wrong in a Disagreement (Even if You’re Right)"
"https://fs.blog/2016/05/eager-to-be-wrong/","Eager to Be Wrong"
"https://fs.blog/2018/02/first-thought-not-best-thought/","Your First Thought Is Rarely Your Best Thought: Lessons on Thinking"
"https://fs.blog/2015/06/david-allen-productivity/","How David Allen increased Drew Carey’s Productivity"
"https://fs.blog/2015/09/meditation-why-bother/","Meditation: Why Bother?"
"https://fs.blog/2015/08/mistakes-creative-process/","Shaun McNiff: Mistakes and the Creative Process"
"https://fs.blog/2014/04/the-art-and-science-of-doing-nothing/","The Art and Science of Doing Nothing"
"https://fs.blog/2017/03/the-metagame/","The Metagame: How Bill Belichick and Warren Buffett Play a Different Game"
"https://fs.blog/2014/04/bill-gates-ted-books/","10 Books Bill and Melinda Gates Recommended to the TED Audience This Year"
"https://fs.blog/2016/04/should-vs-is/","Don’t Get “Should” Mixed Up with “Is”"
"https://fs.blog/2011/08/beliefs-come-first-reasons-second/","Beliefs come first; reasons second"
"https://fs.blog/2018/01/expected-value/","Poker, Speeding Tickets, and Expected Value: Making Decisions in an Uncertain World"
"https://fs.blog/2018/02/winning-battle-losing-war/","Pyrrhic Victory: Winning the Battle, Losing the War"
"https://fs.blog/2016/05/incentives-gone-wrong/","Incentives Gone Wrong: Cobras, Severed Hands, and Shea Butter"
"https://fs.blog/2015/09/henry-david-thoreau-on-reading/","Henry David Thoreau on Reading Deliberately"
"https://fs.blog/2014/04/the-default-thinking-method-of-problem-solving/","The Default-Thinking Method of Problem Solving"
"https://fs.blog/2015/07/winifred-gallagher-focused-life/","Winifred Gallagher On Living a Focused Life"
"https://fs.blog/2015/08/decisions-complex-adaptive-system/","Making Decisions in a Complex Adaptive System"
"https://fs.blog/2016/08/many-ways-memory-fails-us-part-2/","The Many Ways Our Memory Fails Us (Part 2)"
"https://fs.blog/2016/09/robert-moses-pure-competence/","Robert Moses and the Oxygen of Pure Competence"
"https://fs.blog/2016/07/members-summer-2016-reading-list/","The Farnam Street Members Summer 2016 Reading List"
