n.name,n.url,n.betweenness
First Principles: The Building Blocks of True Knowledge,https://fs.blog/2018/04/first-principles/,13587.982877772145
Second-Order Thinking: What Smart People Use to Outperform,https://fs.blog/2016/04/second-order-thinking/,19974.716696340267
Predicting the Future with Bayes’s Theorem,https://fs.blog/2018/09/bayess-theorem/,113457.80864042047
The Pygmalion Effect: Proving Them Right,https://fs.blog/2018/05/pygmalion-effect/,10012.342734806143
Inversion and The Power of Avoiding Stupidity,https://fs.blog/2013/10/inversion/,30174.999641292772
Multiplicative Systems: Understanding The Power of Multiplying by Zero,https://fs.blog/2016/08/multiplicative-systems/,8587.832447812036
"The Value of Probabilistic Thinking: Spies, Crime, and Lightning Strikes",https://fs.blog/2018/05/probabilistic-thinking/,19627.98012952478
The Map Is Not the Territory,https://fs.blog/2015/11/map-and-territory/,59923.22175855156
Thought Experiment: How Einstein Solved Difficult Problems,https://fs.blog/2017/06/thought-experiment-how-einstein-solved-difficult-problems/,8913.954655640626
The Danger of Oversimplification: How to Use Occam’s Razor Without Getting Cut,https://fs.blog/2017/05/mental-model-occams-razor/,13568.164800683677
The Decision Matrix: How to Prioritize What Matters,https://fs.blog/2018/09/decision-matrix/,6750.606063647585
Earning Your Stripes: My Conversation with Patrick Collison [The Knowledge Project #32],https://fs.blog/2018/05/patrick-collison/,6309.179715667932
Understanding your Circle of Competence: How Warren Buffett Avoids Problems,https://fs.blog/2013/12/mental-model-circle-of-competence/,21616.07285226507
"Hanlon’s Razor: Relax, Not Everything is Out to Get You",https://fs.blog/2017/04/mental-model-hanlons-razor/,29022.15661269354
The Timeless Parable of Mr. Market,https://fs.blog/2013/11/mr-market/,32583.372165071196
The Disproportional Power of Anecdotes,https://fs.blog/2018/08/power-of-anecdotes/,38475.64917416534
"[Episode #30] Company Culture, Collaboration and Competition: A Discussion With Margaret Heffernan",https://fs.blog/2018/03/margaret-heffernan/,17465.443331578725
Double Loop Learning: Download New Skills and Information into Your Brain,https://fs.blog/2018/06/double-loop-learning/,38994.193096068906
Learning How to Think: The Skill No One Taught You,https://fs.blog/2015/08/william-deresiewicz-learn-how-to-think/,12340.588046299403
Winner Takes it All: How Markets Favor the Few at the Expense of the Many,https://fs.blog/2018/09/mental-model-winner-take-all/,100257.53136687797
"Deductive vs Inductive Reasoning: Make Smarter Arguments, Better Decisions, and Stronger Conclusions",https://fs.blog/2018/05/deductive-inductive-reasoning/,28912.745371673147
Why Honor Matters,https://fs.blog/2018/08/why-honor-matters/,809.0592279300629
The Work Required to Have an Opinion,https://fs.blog/2013/04/the-work-required-to-have-an-opinion/,22741.848501971042
So Two Stoics Walk Into a Bar…,https://fs.blog/2018/03/seneca-epictetus-relationships/,13803.66946162985
Complexity Bias: Why We Prefer Complicated to Simple,https://fs.blog/2018/01/complexity-bias/,12517.905800370048
The Buffett Formula: Going to Bed Smarter Than you Woke Up,https://fs.blog/2013/05/the-buffett-formula-how-to-get-smarter/,18078.158594348835
How to Remember What You Read,https://fs.blog/2017/10/how-to-remember-what-you-read/,93341.73096568983
The Top 3 Most Effective Ways to Take Notes While Reading,https://fs.blog/2013/11/taking-notes-while-reading/,54008.99213890954
Why You Should Stop Reading News,https://fs.blog/2013/12/stop-reading-news/,4191.8068127079305
Making Compassionate Decisions: The Role of Empathy in Decision Making,https://fs.blog/2017/12/against-empathy/,3829.129152307378
The Power of Incentives: Inside the Hidden Forces That Shape Behavior,https://fs.blog/2017/10/bias-incentives-reinforcement/,2585.1445739170663
Why You Shouldn’t Slog Through Books,https://fs.blog/2017/09/shouldnt-slog-books/,34843.689133137916
How the Many Sides to Every Story Shape our Reality,https://fs.blog/2018/10/shape-our-reality/,13939.027616537129
Bayes and Deadweight: Using Statistics to Eject the Deadweight From Your Life,https://fs.blog/2018/01/bayes-deadweight/,61124.17978058597
The Munger Operating System: How to Live a Life That Really Works,https://fs.blog/2016/04/munger-operating-system/,4482.76916634724
The Necessity of Marginalia in the Age of the Ebook,https://fs.blog/2015/01/marginalia/,60970.44739753675
Creating a Decision Journal: Template And Example Included,https://fs.blog/2014/02/decision-journal/,25752.616840610634
Survival of the Kindest: Dacher Keltner Reveals the New Rules of Power,https://fs.blog/2018/03/dacher-keltner-power/,9089.943271603024
Ted Williams: The Science of Hitting and What it can Teach you about Making Better Decisions,https://fs.blog/2013/07/make-better-decisions/,6003.038696914328
"Blog Posts, Book Reviews, and Abstracts: On Shallowness",https://fs.blog/2017/02/on-shallowness/,8443.385460105386
